subjid,offer_propoer,offer_recipt,choice,conds,in_outgroup,trial
9181,6,6,1,3,2,29
9181,6,6,1,1,1,30
9181,6,6,1,3,2,31
9181,9,3,3,4,2,32
9181,7,5,2,1,1,33
9181,9,3,3,4,2,34
9181,9,3,1,2,1,35
9181,12,0,4,4,2,36
9181,7,5,2,3,2,37
9181,9,3,3,4,2,38
9181,6,6,1,3,2,39
9181,7,5,3,3,2,40
9181,6,6,1,1,1,41
9181,12,0,1,2,1,42
9181,7,5,1,1,1,43
9181,12,0,4,4,2,44
9181,9,3,4,4,2,45
9181,7,5,1,1,1,46
9181,9,3,1,2,1,47
9181,9,3,2,2,1,48
9181,12,0,4,4,2,49
9181,6,6,1,1,1,50
9181,6,6,1,1,1,51
9181,9,3,1,2,1,52
9181,7,5,1,1,1,53
9181,6,6,2,3,2,54
9181,12,0,2,2,1,55
9181,6,6,1,1,1,56
9181,12,0,4,4,2,57
9181,9,3,3,4,2,58
9181,7,5,1,1,1,59
9181,7,5,2,3,2,60
9181,12,0,4,4,2,61
9181,6,6,1,3,2,62
9181,6,6,1,1,1,63
9181,9,3,1,2,1,64
9181,7,5,3,3,2,65
9181,9,3,3,4,2,66
9181,9,3,2,2,1,67
9181,6,6,2,3,2,68
9181,12,0,1,2,1,69
9181,7,5,1,1,1,70
9181,7,5,1,1,1,71
9181,7,5,2,3,2,72
9181,6,6,3,3,2,1
9181,6,6,1,1,1,2
9181,9,3,2,2,1,3
9181,12,0,4,4,2,4
9181,7,5,1,1,1,5
9181,9,3,3,4,2,6
9181,12,0,2,2,1,7
9181,12,0,4,4,2,8
9181,7,5,3,3,2,9
9181,9,3,3,4,2,10
9181,12,0,4,4,2,11
9181,9,3,1,2,1,12
9181,7,5,1,1,1,13
9181,12,0,4,4,2,14
9181,12,0,2,2,1,15
9181,7,5,3,3,2,16
9181,6,6,1,1,1,17
9181,9,3,3,4,2,18
9181,6,6,1,1,1,19
9181,6,6,1,3,2,20
9181,12,0,2,2,1,21
9181,12,0,4,4,2,22
9181,7,5,1,1,1,23
9181,9,3,1,2,1,24
9181,9,3,3,4,2,25
9181,7,5,2,3,2,26
9181,7,5,1,1,1,27
9181,6,6,2,3,2,28
9181,9,3,4,4,2,29
9181,9,3,1,2,1,30
9181,12,0,1,2,1,31
9181,12,0,4,4,2,32
9181,9,3,4,4,2,33
9181,9,3,3,4,2,34
9181,7,5,1,1,1,35
9181,7,5,2,3,2,36
9181,9,3,1,2,1,37
9181,6,6,2,3,2,38
9181,9,3,1,2,1,39
9181,6,6,1,1,1,40
9181,7,5,1,1,1,41
9181,7,5,2,3,2,42
9181,6,6,1,1,1,43
9181,7,5,2,3,2,44
9181,12,0,4,4,2,45
9181,6,6,1,1,1,46
9181,6,6,1,3,2,47
9181,9,3,3,4,2,48
9181,12,0,1,2,1,49
9181,9,3,2,2,1,50
9181,6,6,1,1,1,51
9181,7,5,1,1,1,52
9181,6,6,1,1,1,53
9181,12,0,2,2,1,54
9181,12,0,4,4,2,55
9181,6,6,2,3,2,56
9181,7,5,2,3,2,57
9181,9,3,2,2,1,58
9181,6,6,1,1,1,59
9181,12,0,3,2,1,60
9181,7,5,2,3,2,61
9181,9,3,3,4,2,62
9181,7,5,1,1,1,63
9181,12,0,2,2,1,64
9181,6,6,2,3,2,65
9181,7,5,2,3,2,66
9181,9,3,1,2,1,67
9181,6,6,1,3,2,68
9181,12,0,2,2,1,69
9181,6,6,1,3,2,70
9181,12,0,4,4,2,71
9181,7,5,1,1,1,144
9221,9,3,1,2,1,1
9221,7,5,1,3,2,2
9221,6,6,1,1,1,3
9221,12,0,4,2,1,4
9221,7,5,1,1,1,5
9221,6,6,1,1,1,6
9221,6,6,1,3,2,7
9221,12,0,1,2,1,8
9221,7,5,2,3,2,9
9221,9,3,3,4,2,10
9221,9,3,3,4,2,11
9221,9,3,2,2,1,12
9221,6,6,1,3,2,13
9221,12,0,4,4,2,14
9221,7,5,1,3,2,15
9221,7,5,1,3,2,16
9221,12,0,3,4,2,17
9221,7,5,1,1,1,18
9221,6,6,1,3,2,19
9221,12,0,3,2,1,20
9221,9,3,3,4,2,21
9221,12,0,3,2,1,22
9221,12,0,4,4,2,23
9221,9,3,2,2,1,24
9221,12,0,4,2,1,25
9221,6,6,1,1,1,26
9221,12,0,4,4,2,27
9221,12,0,3,2,1,28
9221,6,6,1,3,2,29
9221,6,6,1,1,1,30
9221,6,6,2,3,2,31
9221,9,3,3,4,2,32
9221,7,5,1,1,1,33
9221,9,3,3,4,2,34
9221,9,3,1,2,1,35
9221,12,0,4,4,2,36
9221,7,5,4,3,2,37
9221,9,3,2,4,2,38
9221,6,6,1,3,2,39
9221,7,5,2,3,2,40
9221,6,6,1,1,1,41
9221,12,0,4,2,1,42
9221,7,5,1,1,1,43
9221,12,0,4,4,2,44
9221,9,3,3,4,2,45
9221,7,5,1,1,1,46
9221,9,3,1,2,1,47
9221,9,3,2,2,1,48
9221,12,0,4,4,2,49
9221,6,6,1,1,1,50
9221,6,6,1,1,1,51
9221,9,3,2,2,1,52
9221,7,5,1,1,1,53
9221,6,6,1,3,2,54
9221,12,0,4,2,1,55
9221,6,6,1,1,1,56
9221,12,0,4,4,2,57
9221,9,3,3,4,2,58
9221,7,5,1,1,1,59
9221,7,5,2,3,2,60
9221,12,0,4,4,2,61
9221,6,6,1,3,2,62
