subid,gender,trial,run,choice_raw,offer_propoer,conds,RT,offer_recipt,choice,in_outgroup
9101,2,1,1,2,9,2,1.293,3,2,1
9101,2,2,1,0,7,3,1.314,5,1,2
9101,2,3,1,0,6,1,0.645,6,1,1
9101,2,4,1,6,12,2,0.832,0,4,1
9101,2,5,1,0,7,1,0.724,5,1,1
9101,2,6,1,0,6,1,0.924,6,1,1
9101,2,7,1,0,6,3,0.76,6,1,2
9101,2,8,1,6,12,2,1.086,0,4,1
9101,2,9,1,0,7,3,0.85,5,1,2
9101,2,10,1,2,9,4,2.318,3,2,2
9101,2,11,1,2,9,4,1.024,3,2,2
9101,2,12,1,2,9,2,1.362,3,2,1
9101,2,13,1,0,6,3,0.717,6,1,2
9101,2,14,1,6,12,4,1.197,0,4,2
9101,2,15,1,0,7,3,0.855,5,1,2
9101,2,16,1,0,7,3,0.784,5,1,2
9101,2,17,1,6,12,4,1.199,0,4,2
9101,2,18,1,0,7,1,0.747,5,1,1
9101,2,19,1,0,6,3,0.792,6,1,2
9101,2,20,1,6,12,2,1.297,0,4,1
9101,2,21,1,2,9,4,1.604,3,2,2
9101,2,22,1,6,12,2,1.189,0,4,1
9101,2,23,1,6,12,4,0.936,0,4,2
9101,2,24,1,2,9,2,1.026,3,2,1
9101,2,25,1,6,12,2,0.987,0,4,1
9101,2,26,1,0,6,1,0.84,6,1,1
9101,2,27,1,6,12,4,0.971,0,4,2
9101,2,28,1,6,12,2,0.863,0,4,1
9101,2,29,1,0,6,3,1.011,6,1,2
9101,2,30,1,0,6,1,0.656,6,1,1
9101,2,31,1,0,6,3,1.617,6,1,2
9101,2,32,1,2,9,4,1.029,3,2,2
9101,2,33,1,0,7,1,0.83,5,1,1
9101,2,34,1,2,9,4,1.365,3,2,2
9101,2,35,1,2,9,2,0.825,3,2,1
9101,2,36,1,6,12,4,2.684,0,4,2
9101,2,37,1,0,7,3,0.703,5,1,2
9101,2,38,1,2,9,4,1.207,3,2,2
9101,2,39,1,0,6,3,1.126,6,1,2
9101,2,40,1,0,7,3,0.755,5,1,2
9101,2,41,1,0,6,1,1.308,6,1,1
9101,2,42,1,6,12,2,1.083,0,4,1
9101,2,43,1,0,7,1,0.976,5,1,1
9101,2,44,1,6,12,4,0.966,0,4,2
9101,2,45,1,2,9,4,0.891,3,2,2
9101,2,46,1,0,7,1,0.776,5,1,1
9101,2,47,1,2,9,2,1.183,3,2,1
9101,2,48,1,2,9,2,0.812,3,2,1
9101,2,49,1,6,12,4,1.493,0,4,2
9101,2,50,1,0,6,1,0.772,6,1,1
9101,2,51,1,0,6,1,4.198,6,1,1
9101,2,52,1,2,9,2,0.709,3,2,1
9101,2,53,1,0,7,1,0.992,5,1,1
9101,2,54,1,0,6,3,0.883,6,1,2
9101,2,55,1,6,12,2,1.262,0,4,1
9101,2,56,1,0,6,1,0.696,6,1,1
9101,2,57,1,6,12,4,0.845,0,4,2
9101,2,58,1,2,9,4,1.339,3,2,2
9101,2,59,1,0,7,1,0.905,5,1,1
9101,2,60,1,0,7,3,0.797,5,1,2
9101,2,61,1,6,12,4,0.974,0,4,2
9101,2,62,1,0,6,3,0.503,6,1,2
9101,2,63,1,0,6,1,0.887,6,1,1
9101,2,64,1,2,9,2,0.898,3,2,1
9101,2,65,1,0,7,3,2.718,5,1,2
9101,2,66,1,2,9,4,1.234,3,2,2
9101,2,67,1,2,9,2,0.902,3,2,1
9101,2,68,1,0,6,3,0.786,6,1,2
9101,2,69,1,6,12,2,0.913,0,4,1
9101,2,70,1,0,7,1,1.054,5,1,1
9101,2,71,1,0,7,1,0.705,5,1,1
9101,2,72,1,0,7,3,0.94,5,1,2
9141,2,2,1,4,7,3,2.684,5,3,2
9141,2,3,1,2,6,1,3.248,6,2,1
9141,2,5,1,4,7,1,2.67,5,3,1
9141,2,6,1,4,6,1,2.494,6,3,1
9141,2,7,1,6,6,3,2.21,6,4,2
9141,2,8,1,6,12,2,3.72,0,4,1
9141,2,9,1,6,7,3,3.277,5,4,2
9141,2,10,1,6,9,4,1.873,3,4,2
9141,2,11,1,6,9,4,2.49,3,4,2
9141,2,12,1,2,9,2,3.74,3,2,1
9141,2,13,1,4,6,3,1.871,6,3,2
9141,2,14,1,4,12,4,2.191,0,3,2
9141,2,15,1,6,7,3,2.025,5,4,2
9141,2,16,1,4,7,3,2.13,5,3,2
9141,2,17,1,6,12,4,1.186,0,4,2
9141,2,18,1,4,7,1,2.061,5,3,1
9141,2,19,1,4,6,3,2.89,6,3,2
9141,2,20,1,6,12,2,1.755,0,4,1
9141,2,21,1,6,9,4,1.718,3,4,2
9141,2,22,1,6,12,2,1.151,0,4,1
9141,2,23,1,6,12,4,1.73,0,4,2
9141,2,24,1,4,9,2,1.419,3,3,1
9141,2,25,1,6,12,2,1.045,0,4,1
9141,2,26,1,4,6,1,2.435,6,3,1
9141,2,27,1,6,12,4,1.229,0,4,2
9141,2,28,1,4,12,2,2.193,0,3,1
9141,2,29,1,4,6,3,1.501,6,3,2
9141,2,30,1,4,6,1,2.811,6,3,1
9141,2,31,1,4,6,3,4.515,6,3,2
9141,2,32,1,4,9,4,1.464,3,3,2
9141,2,33,1,4,7,1,2.687,5,3,1
9141,2,34,1,4,9,4,3.134,3,3,2
9141,2,35,1,4,9,2,3.34,3,3,1
9141,2,36,1,4,12,4,2.934,0,3,2
9141,2,37,1,4,7,3,2.49,5,3,2
9141,2,38,1,2,9,4,1.45,3,2,2
9141,2,39,1,2,6,3,3.199,6,2,2
9141,2,40,1,2,7,3,3.469,5,2,2
9141,2,41,1,0,6,1,2.734,6,1,1
9141,2,42,1,2,12,2,3.957,0,2,1
9141,2,43,1,0,7,1,3.481,5,1,1
9141,2,44,1,0,12,4,2.544,0,1,2
9141,2,45,1,0,9,4,2.95,3,1,2
9141,2,46,1,0,7,1,3.185,5,1,1
9141,2,47,1,0,9,2,2.817,3,1,1
9141,2,48,1,0,9,2,1.086,3,1,1
9141,2,49,1,2,12,4,2.454,0,2,2
9141,2,50,1,0,6,1,2.389,6,1,1
9141,2,51,1,0,6,1,0.864,6,1,1
9141,2,52,1,0,9,2,2.352,3,1,1
9141,2,53,1,0,7,1,1.746,5,1,1
9141,2,54,1,2,6,3,2.837,6,2,2
9141,2,55,1,0,12,2,2.793,0,1,1
9141,2,56,1,0,6,1,0.978,6,1,1
9141,2,57,1,2,12,4,1.639,0,2,2
9141,2,58,1,0,9,4,3.085,3,1,2
9141,2,59,1,0,7,1,2.684,5,1,1
9141,2,60,1,0,7,3,2.47,5,1,2
9141,2,61,1,2,12,4,1.96,0,2,2
9141,2,62,1,0,6,3,1.544,6,1,2
9141,2,63,1,0,6,1,0.72,6,1,1
9141,2,64,1,0,9,2,1.412,3,1,1
9141,2,65,1,0,7,3,0.976,5,1,2
9141,2,66,1,0,9,4,2.1,3,1,2
9141,2,67,1,0,9,2,1.672,3,1,1
9141,2,68,1,0,6,3,0.836,6,1,2
9141,2,69,1,0,12,2,2.268,0,1,1
9141,2,70,1,0,7,1,0.848,5,1,1
9141,2,71,1,0,7,1,1.484,5,1,1
9141,2,72,1,0,7,3,0.871,5,1,2
9141,2,1,2,0,6,3,2.957,6,1,2
9141,2,2,2,0,6,1,1.039,6,1,1
9141,2,3,2,2,9,2,2.8,3,2,1
9141,2,4,2,4,12,4,2.314,0,3,2
9141,2,5,2,0,7,1,0.963,5,1,1
9141,2,6,2,0,9,4,3.683,3,1,2
9141,2,7,2,2,12,2,2.833,0,2,1
9141,2,8,2,4,12,4,1.448,0,3,2
9141,2,9,2,0,7,3,1.21,5,1,2
9141,2,10,2,0,9,4,2.017,3,1,2
9141,2,11,2,4,12,4,2.233,0,3,2
9141,2,12,2,0,9,2,1.071,3,1,1
9141,2,13,2,0,7,1,0.828,5,1,1
9141,2,14,2,4,12,4,1.286,0,3,2
9141,2,15,2,2,12,2,2.058,0,2,1
9141,2,16,2,0,7,3,1.202,5,1,2
9141,2,17,2,0,6,1,0.816,6,1,1
9141,2,18,2,0,9,4,1.838,3,1,2
9141,2,19,2,0,6,1,0.854,6,1,1
9141,2,20,2,0,6,3,2.147,6,1,2
