membership,split,note,Interaction_dACC,Interaction_rmPFC,rmPFC,dACC,dlPFC,PPC
1,2,inUF,16.14720434,8.628630333,8.050716861,17.80201951,17.31201783,22.09899134
1,2,inUF,7.232301255,-3.675546745,-3.511975304,7.181141755,8.029180615,12.1896712
1,2,inUF,23.21948443,5.254792602,3.095777771,22.77820628,18.32766293,35.32719453
1,2,inUF,8.190548921,2.686621382,8.265917715,7.559318515,3.836663932,14.58965312
1,2,inUF,14.39466939,0.676685149,2.498205343,11.826237,19.97143543,27.66701853
1,2,inUF,14.85136777,0.210753885,1.245517513,11.16080758,11.60186838,21.99746054
1,2,inUF,4.538849618,-2.841405009,-2.387445599,5.982888835,5.278311136,11.21937422
1,2,inUF,4.438978987,-1.414654104,0.042785856,4.485062949,7.721671543,6.124636416
1,2,inUF,11.66605861,-6.911289842,-4.189785866,11.41162268,10.63095221,24.36371041
1,2,inUF,4.78763502,3.41951673,3.032812994,8.212252917,6.180597536,11.18782334
1,2,inUF,7.459874435,-3.060102446,-1.255175708,8.646306471,8.232837402,16.76279201
1,2,inUF,15.12304245,-2.614997892,-2.039831704,14.51877117,16.40047528,12.30354141
1,2,inUF,16.06473267,-5.999759116,-5.04683685,14.42608957,20.48578642,12.09985135
1,2,inUF,15.74439426,4.934717943,4.643732341,14.89723644,18.22050961,13.47858382
1,2,inUF,3.407376568,-6.251426649,-5.369702798,4.93268392,3.326684751,13.60272578
1,2,inUF,-4.642917391,-8.707390877,-7.518121733,-2.002634488,7.100351986,13.72246501
1,2,inUF,6.114479983,1.231195999,0.722589052,6.495073722,14.50535384,12.86432863
2,1,outF,1.699541123,-10.14993438,-8.651089553,2.821807331,6.439954589,11.33538169
2,1,outF,10.39029134,0.469558986,0.489803783,9.985167948,11.76726645,18.24927283
2,1,outF,5.187609839,8.581146307,9.649367873,6.220370217,8.517519125,9.00475955
2,1,outF,6.019756968,-7.678254156,-6.299206045,5.186514854,6.276042633,10.53599298
2,1,outF,0.715643563,-2.855875926,-3.465267032,0.301928168,0.165811104,4.199364845
2,1,outF,6.320506585,2.078771568,2.130787511,6.971218036,5.360176777,17.87452481
2,1,outF,11.02460511,0.062007251,2.475811625,14.00702678,12.97584902,30.40837421
2,1,outF,6.792561278,-9.372822796,-8.014274106,7.64046287,10.67346922,15.2157601
2,1,outF,13.19133265,-10.69936937,-10.15894857,13.61102717,15.62579176,22.33747771
2,1,outF,1.182171389,-0.750792913,-0.75047427,2.556383497,1.788522703,4.606632512
2,1,outF,7.740002201,1.01798753,0.708467009,6.680913241,5.155453188,9.711834005
2,1,outF,6.869159479,-3.786385802,-2.447125869,8.572518374,4.204656243,7.121742833
2,1,outF,12.61199888,-5.396103105,-5.339497114,10.70589866,5.933676398,10.11068711
2,1,outF,13.16376749,-4.210900112,-4.051320889,12.73403583,18.82511468,30.96204283
2,1,outF,6.571335475,-8.06974704,-6.404916134,7.790058811,7.322803031,13.17158376
2,1,outF,-0.199128058,0.806333514,0.935164341,0.443828794,-2.222437139,7.388656536
2,1,outF,6.844326969,-5.602944692,-4.135806237,6.448553501,9.379739151,11.65022374
2,1,outF,19.16554364,-4.541396385,-3.592254559,15.81270167,7.858856704,14.82606012
2,1,outF,18.81183637,5.998645625,6.246949434,20.56331091,20.85907465,20.75026378
2,1,outF,19.52190015,3.971350302,3.67923581,18.20864509,13.00145496,17.67023876
2,1,outF,12.48339754,-3.028297429,-2.93470127,12.61579833,8.759724371,7.635861706
2,1,outF,4.693303303,-1.87121392,-2.256363247,4.399648252,3.845502459,8.054395478
2,1,outF,3.783607786,-0.191025092,0.035712876,4.640828968,5.42854013,16.7988799
2,1,outF,1.794463149,-5.212310935,-3.539869413,3.211090709,4.325180359,11.08423969
2,1,outF,0.003922334,-4.220876851,-1.627880579,3.614427647,7.179685317,25.30804105
2,1,outF,10.23566491,-14.27869888,-15.17368917,9.435676676,15.01994981,24.53239707
2,1,outF,9.679556439,5.76312477,5.470581418,13.28781816,13.62009389,19.47324334
2,1,outF,4.488330146,0.196470065,-0.671612798,7.179761746,4.708965494,9.396193833
2,1,outF,23.59430863,6.91185534,5.676747859,21.85364858,19.17900408,17.33318656
2,1,outF,4.931470081,-1.957484618,-0.29424896,6.885520998,8.843921013,16.66659128
2,1,outF,5.152606066,-9.140376687,-7.516160896,4.939688183,17.29023721,15.9174609
2,1,outF,2.083470941,5.370807972,4.673849819,2.690599179,5.098976093,5.752693228
2,1,outF,18.26938724,-9.285460555,-7.64527282,19.63646824,16.31926089,22.57795155
2,1,outF,15.15497251,0.574150237,-1.877873439,13.31808674,17.76535521,18.91988063
2,1,outF,5.867799916,3.723363183,5.40503526,7.784289232,3.776762434,11.27231786
2,1,outF,1.245318676,-7.15310491,-5.536598082,2.169477022,3.937684998,3.51083969
