membership,split,note,Interaction_dACC,Interaction_mPFC,mPFC,dACC,dlPFC,PPC
1,2,inUF,16.06473267,-5.999759116,-5.04683685,14.42608957,20.48578642,12.09985135
1,2,inUF,15.74439426,4.934717943,4.643732341,14.89723644,18.22050961,13.47858382
1,2,inUF,3.407376568,-6.251426649,-5.369702798,4.93268392,3.326684751,13.60272578
1,2,inUF,-4.642917391,-8.707390877,-7.518121733,-2.002634488,7.100351986,13.72246501
1,2,inUF,6.114479983,1.231195999,0.722589052,6.495073722,14.50535384,12.86432863
2,2,outUF,3.388956987,-4.839576726,-4.299562168,3.931531391,9.191775853,12.23729318
2,2,outUF,12.51884432,-4.33781255,-2.938484294,12.95696855,16.35594812,25.96229168
2,2,outUF,2.674115041,-2.932434786,-3.996102248,2.722879695,9.662239839,7.847590043
2,2,outUF,19.03454079,-6.701387218,-4.118997482,18.43798661,13.66317093,15.43456851
2,2,outUF,-0.976260706,-0.93405384,-1.879417133,-1.288901308,0.109455387,0.92501237
2,2,outUF,12.86881454,0.081605079,0.146682261,12.15157283,9.982599107,21.8913818
2,2,outUF,11.68189022,-0.047314447,0.301033692,14.11833063,18.68975563,31.57187312
2,2,outUF,12.79494709,-4.932414866,-4.390497045,13.15024507,17.68247908,19.31453625
2,2,outUF,8.875725441,-15.95864366,-15.90033186,9.805193051,11.80202868,20.93281712
2,2,outUF,-1.497520125,-8.927606729,-8.800922531,-0.096000161,-2.316084062,1.511188024
2,2,outUF,9.053684498,5.330640057,3.239749453,8.09405034,6.249010745,7.635960523
2,2,outUF,6.925287162,-10.61141841,-9.166258029,9.179588165,4.023361862,8.083980931
2,2,outUF,13.85347571,-2.762888664,-2.080141024,12.25191391,9.345590438,12.4620859
2,2,outUF,6.443810259,0.507651162,-0.346895462,7.884556915,14.71162916,25.38325363
2,2,outUF,7.172196587,-5.615043488,-4.258792346,7.698400961,7.439534039,10.20117002
2,2,outUF,8.335242372,-5.892266731,-4.61856077,8.016002436,3.852616031,13.43366305
2,2,outUF,15.09681402,0.799854134,1.015173792,15.0801195,21.21427327,22.21073609
2,2,outUF,27.93921886,-8.373491407,-5.825214078,24.07900705,17.21483447,22.14069102
2,2,outUF,17.36162329,0.628520526,1.131096613,19.59793138,18.93356014,20.97244298
2,2,outUF,19.81815463,-0.940952313,0.254240972,18.6308839,10.16422733,18.62679568
2,2,outUF,18.82781287,-8.471583809,-6.823420092,18.1300216,14.92366114,10.19383408
2,2,outUF,9.523510839,2.075613856,2.987176833,9.428191457,6.822798659,8.745971494
2,2,outUF,-3.626831979,-8.845582767,-9.113890162,-2.602263812,-1.765623461,11.45827723
2,2,outUF,7.475943445,-6.714953861,-4.809390063,9.232417388,10.91323964,18.17814248
2,2,outUF,-0.533613536,-8.195143227,-6.503698415,1.291263804,7.741739792,16.6502766
2,2,outUF,14.10898419,-14.17102931,-15.05632974,14.1710282,22.10416488,33.16481905
2,2,outUF,2.365230546,-5.160751621,-4.808089519,7.408218667,7.87381704,11.84130865
2,2,outUF,4.308994752,-4.296161878,-5.2691284,6.955790909,6.543294517,9.324803712
2,2,outUF,25.24612139,2.738692155,1.746672527,23.03691851,22.21072503,22.76305416
2,2,outUF,0.054582018,-11.22948018,-7.97049299,3.227007233,9.57911949,13.38935848
2,2,outUF,5.24601745,-13.21769528,-11.21218728,4.403589708,20.19557103,18.85623997
2,2,outUF,3.141757927,1.850728829,1.503840423,4.0225045,5.22957317,8.692685678
2,2,outUF,21.9719606,-9.842351393,-7.975684849,24.09955001,17.87940161,23.4368972
