membership,split,note,Interaction_dACC,Interaction_mPFC,mPFC,dACC,dlPFC,PPC,Ventral_striatum_dACC,Thalamus_dACC,Thalamus_dlPFC,Ventral_striatum_dlPFC,Posterior_Cerebellum_dlPFC
1,1,inF,2.283598246,-6.162001159,-5.307779878,3.437794187,-1.467395152,3.467164774,-0.511672862,-0.141842752,0.232456166,-0.966227811,0.557216037
1,1,inF,7.225972025,-0.680475282,0.060020402,7.744547364,11.79247782,16.97621041,-1.458957032,-1.180207943,-0.35752813,-2.101237995,0.023750165
1,1,inF,15.16150359,-9.429786309,-7.802439416,12.90600467,6.616147043,11.3475269,1.142545957,1.628436908,0.048394379,1.155171713,0.532778776
1,1,inF,16.26326056,3.371611012,4.419984233,18.28675891,19.77094394,18.17224978,-0.151817476,-1.646226329,-0.639833923,0.183240739,-1.071137139
1,1,inF,7.361079983,-3.976447379,-2.348864423,7.309371534,3.535779325,8.860384947,-0.807777548,-0.152234291,-0.744878419,-0.153778392,-1.619696185
1,1,inF,8.626762222,-5.487274212,-4.005002282,8.86558808,6.196836724,5.274375535,-0.666467718,0.186746128,-1.084246388,-0.67476349,0.197110831
1,1,inF,4.293763488,-5.613328939,-3.743704537,4.513758315,2.592854331,3.803184009,-0.25608767,-1.422440124,-0.542913714,0.055635251,1.110812638
1,1,inF,-1.281981386,-4.617694368,-3.936105468,-0.697571293,-0.280379999,12.77354356,-0.135910694,0.188097129,-0.186835628,0.177185715,-0.146415836
1,1,inF,7.565974301,2.485387334,5.294030675,10.37052641,12.06745086,24.76056071,-0.181113642,-0.782122117,0.802922644,-1.255696184,0.551016463
1,1,inF,-0.579547706,-4.616421897,-0.594939148,2.450543922,5.950070821,22.50533233,-0.288734718,-0.664800796,-0.222691054,-0.086177413,-0.142302637
1,1,inF,6.43266008,-2.831544217,-1.246131945,6.979243299,11.04883479,19.15637384,0.402589026,-0.102049804,-0.197065268,0.215562243,-0.307471851
1,1,inF,-1.225683139,-6.751556816,-5.803513447,4.083822852,5.99805995,15.05753854,-1.070962426,-0.45332604,-1.030581281,-0.284162556,0.517149255
1,1,inF,0.868549371,2.508886148,1.670007329,3.5685272,1.499410229,5.009603891,0.695314023,-1.535536735,-0.388255592,-0.527356866,0.605433729
1,1,inF,19.96756347,1.582911183,2.031089367,18.21909231,15.81705299,14.97045722,0.155493214,-1.4489906,0.081573077,-0.427030473,0.642065137
1,1,inF,3.558604018,-5.070809679,-1.96365971,6.753486099,10.08270173,15.57076566,0.760128714,-0.037881744,0.51712245,1.400093428,0.780356021
1,1,inF,3.071161464,-7.781425354,-5.749683962,2.773118778,10.46491675,13.35553152,0.228421834,0.321230475,-0.501593865,0.368600426,-1.016972994
1,1,inF,-0.650582051,2.029023549,1.527163957,0.835161458,4.688689119,4.688681018,-0.004778511,0.52662424,-0.209915505,-0.392437953,0.688776031
1,1,inF,10.79888396,-6.807606602,-5.40802665,12.91814299,8.303285348,13.62875267,0.23002564,-0.590186228,-0.213931987,-0.211594285,-1.470407352
1,1,inF,4.089845444,-4.011729432,-2.50193799,4.109441288,4.209342272,8.383068867,-1.876973886,-0.798111608,-0.158225822,-0.824309057,0.532878099
1,1,inF,1.322344961,0.631288063,1.707069855,1.807082757,2.286551158,6.487384541,-0.214785703,-2.003947439,-0.094829771,-1.02417145,-0.109982742
1,1,inF,-0.306367524,-9.065920599,-5.2253305,1.066749449,3.496959563,3.725962089,0.855693068,-0.829852196,-0.504646609,-0.305014592,-0.861420897
1,1,inF,3.258103438,-2.789508618,-2.214429867,5.698711048,6.341378171,15.73920224,-1.157969652,-2.08642661,0.12005309,-0.301960148,-0.076939188
